"MSLP 09h, hPa",hPa,"Barometric pressure at 0900 UTC, corrected to Mean Sea Level, from manual mercury barometer","Commences 1 Jan 1908, some gaps and some instrument moves. Retrospective MSL correction to 2019 - use MSLP QC for morerecent MSL correction, presently only 1 hPa resolution to 2017 inclusive"
"MSLP 09h METFIDAS, hPa",hPa,"Barometric pressure at 0900 UTC, corrected to Mean Sea Level, from electronic sensor (MetFIDAS)",Commences 1 Jan 2009
MSLP QC hPa,,"Barometric pressure at 0900 UTC, corrected to Mean Sea Level, MSLP QC","Manual observations to 2009, retrospectively corrected to MSL 2025/26; MetFIAS electronic sensor since 2009"
"Tdry 09h, °C",°C,Dry bulb temperature at 0900 UTC,"Commences 1 Jan 1908, some gaps"
"Twet 09h, °C",°C,Wet bulb temperature at 0900 UTC,"Commences 1 Jan 1908, some gaps"
RH09h %,%,"Relative Humidity at 0900 UTC, calculated from dry- and wet-bulb readings","Commences 1 Jan 1908, retrospectively calculated"
Snow 5 Sleet 1,0/1/5,Snow (code 5) or sleet (code 1) observed to fall at any time 00-24 UTC,"Commences 1 Jan 1908, some gaps"
Snow-Sleet 0/1,0/1,Snow or sleet observed to fall at any time 00-24 UTC - binary 0/1 from code 1 or 5 entry,"Commences 1 Jan 1908, some gaps"
Snow Lying 09h 0/1,0/1,Snow lying at 0900 UTC (more than half ground covered),"Commences 1 Jan 1908, some gaps to about 1920"
"Snow-Depth, cm",cm,Depth of snow at 0900 UTC,"Commences 1 Sept 1950, occasional earlier records noted"
Thunder 0/1,0/1,Thunder heard at any time 00-24 UTC - binary 0/1,"Commences 1 Jan 1908, some gaps"
Hail code,code,Hail observed to fall at any time 00-24 UTC - code increases with hailstone size,Commences 1 Jan 1960
Hail 0/1,0/1,Hail observed to fall at any time 00-24 UTC - binary 0/1,Commences 1 Jan 1960
Gale 0/1,0/1,Gale observed at any time 00-24 UTC - mean wind speed > 17 m/s for 10 min or longer - binary 0/1,Commences 1 Jan 1967
Fog09h 0/1,0/1,Fog (visibility < 1000 m) observed at 0900 UTC - from visibility code entry,"Commences 1 Jan 1908, some gaps"
ThickFog09h 0/1,0/1,Thick fog (visibility < 200 m) observed at 0900 UTC - from visibility code entry,Commences 1 Jan 1960
